city,d,kappa,generator,K,D,Kprime,L1,h1,Bmax,Btheory
Amsterdam,1027384965,3,ipsp_rho4,5,2,5,56.58204639079173,9,189.06033820647778,23701.003876042683
Amsterdam,1027384965,3,ipsp_rho4,15,3,15,56.58204639079173,9,709.975815297442,49011494880.32533
Amsterdam,1027384965,3,ipsp_rho125,3,1,3,56.58204639079173,9,84.24245004983221,116.53444748561208
Amsterdam,1027384965,3,ipsp_rho125,5,2,5,56.58204639079173,9,127.71587590246475,226.03038669626886
Amsterdam,1027384965,3,ipsp_rho125,15,3,15,56.58204639079173,9,171.99372164892694,4151.435095782102
Amsterdam,11029986849,2,ipsp_rho4,3,2,3,408.00772510633004,48,462.7395667037816,8064.123601701281
Amsterdam,11029986849,2,ipsp_rho4,5,2,5,408.00772510633004,48,630.4061573129409,153601.9776272205
Amsterdam,11029986849,2,ipsp_rho4,15,2,15,408.00772510633004,48,1414.6850161907696,289912366172.44037
Amsterdam,11029986849,2,ipsp_rho125,3,2,3,408.00772510633004,48,462.7395667037816,787.5120704786407
Amsterdam,11029986849,2,ipsp_rho125,5,2,5,408.00772510633004,48,518.422324539914,1464.8626101228763
Amsterdam,11029986849,2,ipsp_rho125,15,2,15,408.00772510633004,48,638.4755108036064,24556.53259645101
Amsterdam,46472711,2,ipsp_rho4,3,2,3,347.6519748986228,46,604.4069774003898,7034.431598377965
Amsterdam,46472711,2,ipsp_rho4,5,2,5,347.6519748986228,46,780.752393663398,136102.90557404744
Amsterdam,46472711,2,ipsp_rho4,15,2,15,347.6519748986228,46,1312.8686833477013,266194550075.21237
Amsterdam,46472711,2,ipsp_rho125,3,1,3,347.6519748986228,46,462.827166624672,686.9562107790981
Amsterdam,46472711,2,ipsp_rho125,5,1,5,347.6519748986228,46,472.27884469761244,1297.978454342341
Amsterdam,46472711,2,ipsp_rho125,15,2,15,347.6519748986228,46,631.0311592650887,22547.55542932396
Amsterdam,46472711,2,yen,3,1,3,347.6519748986228,46,348.2941691990804,348.2941691990804
Amsterdam,46472711,2,eps10,3,1,3,347.6519748986228,46,348.2941691990804,382.41717238848514
Amsterdam,46472711,2,eps25,3,1,3,347.6519748986228,46,348.2941691990804,434.56496862327856
Amsterdam,46472711,2,yen,5,1,5,347.6519748986228,46,348.93629089331665,348.93629089331665
Amsterdam,46472711,2,eps10,5,1,5,347.6519748986228,46,348.93629089331665,382.41717238848514
Amsterdam,46472711,2,eps25,5,1,5,347.6519748986228,46,348.93629089331665,434.56496862327856
Amsterdam,46472711,2,yen,15,1,15,347.6519748986228,46,353.48053169991425,353.48053169991425
Amsterdam,46472711,2,eps10,15,1,15,347.6519748986228,46,353.48053169991425,382.41717238848514
