city,orientation,k,d,w,kappa,outdeg,cut_first,cut_hops
Amsterdam,AD,1,46325205,0.22802197802197802,2,1,-1,-1
Amsterdam,AD,1,365875639,0.03571428571428571,1,1,-1,-1
Amsterdam,AD,1,5896507775,0.07967032967032966,1,1,-1,-1
Amsterdam,AD,1,46384590,0.0521978021978022,2,2,-1,-1
Amsterdam,AD,1,46405687,0.03571428571428571,1,3,-1,-1
Amsterdam,AD,1,46432836,0.01098901098901099,1,1,-1,-1
Amsterdam,AD,1,46446857,0.04120879120879121,2,1,-1,-1
Amsterdam,AD,1,46468710,0.054945054945054944,2,3,-1,-1
Amsterdam,AD,1,46485066,0.046703296703296704,2,1,-1,-1
Amsterdam,AD,1,46498380,0.024725274725274724,3,4,-1,-1
Amsterdam,AD,1,46526413,0.06868131868131869,1,1,-1,-1
Amsterdam,AD,1,46210174,0.0027472527472527475,2,3,-1,-1
Amsterdam,AD,1,2882580890,0.02197802197802198,2,3,-1,-1
Amsterdam,AD,1,46244938,0.02197802197802198,2,1,-1,-1
Amsterdam,AD,1,46266650,0.013736263736263736,1,1,-1,-1
Amsterdam,AD,1,12072406522,0.04395604395604396,1,1,-1,-1
Amsterdam,AD,1,46304102,0.054945054945054944,3,2,-1,-1
Amsterdam,AD,1,46325460,0.09065934065934066,3,2,-1,-1
Amsterdam,AD,1,4743959148,0.07692307692307693,1,1,-1,-1
Amsterdam,AD,1,11224390095,0.04945054945054945,1,1,-1,-1
Amsterdam,AD,1,2262683375,0.03571428571428571,1,1,-1,-1
Amsterdam,AD,1,46404755,0.008241758241758242,2,2,-1,-1
Amsterdam,AD,1,46424348,0.005494505494505495,2,4,-1,-1
Amsterdam,AD,1,46445293,0.046703296703296704,3,4,-1,-1
Amsterdam,AD,1,46466887,0.06868131868131869,3,3,-1,-1
Amsterdam,AD,1,46485162,0.024725274725274724,1,2,-1,-1
Amsterdam,AD,1,262890788,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,11293422861,0.016483516483516484,1,1,-1,-1
Amsterdam,AD,1,46264173,0.01098901098901099,1,3,-1,-1
Amsterdam,AD,1,2801224787,0.008241758241758242,2,3,-1,-1
Amsterdam,AD,1,46303183,0.15384615384615385,3,3,-1,-1
Amsterdam,AD,1,2822146021,0.2967032967032967,0,1,-1,-1
Amsterdam,AD,1,2348249485,0.37362637362637363,50,1,-1,-1
Amsterdam,AD,1,46360124,0.10989010989010989,1,2,-1,-1
Amsterdam,AD,1,1715273753,0.06868131868131869,1,2,-1,-1
Amsterdam,AD,1,46404184,0.008241758241758242,2,2,-1,-1
Amsterdam,AD,1,46420912,0.0027472527472527475,2,2,-1,-1
Amsterdam,AD,1,6904057007,0.03021978021978022,1,1,-1,-1
Amsterdam,AD,1,46460895,0.01098901098901099,3,3,-1,-1
Amsterdam,AD,1,6537188447,0.008241758241758242,1,1,-1,-1
Amsterdam,AD,1,10555373720,0.019230769230769232,1,1,-1,-1
Amsterdam,AD,1,46535755,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,46183572,0.02197802197802198,50,0,-1,-1
Amsterdam,AD,1,46183572,0.008241758241758242,50,0,-1,-1
Amsterdam,AD,1,46183572,0.005494505494505495,50,0,-1,-1
Amsterdam,AD,1,12655469626,0.0027472527472527475,1,3,-1,-1
Amsterdam,AD,1,12022263753,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46283936,0.08791208791208792,2,1,-1,-1
Amsterdam,AD,1,46302228,0.019230769230769232,3,3,-1,-1
Amsterdam,AD,1,46322722,0.024725274725274724,2,3,-1,-1
Amsterdam,AD,1,2013949658,0.3269230769230769,3,3,-1,-1
Amsterdam,AD,1,46361012,0.08241758241758242,2,3,-1,-1
Amsterdam,AD,1,46381772,0.03021978021978022,1,1,-1,-1
Amsterdam,AD,1,6949019795,0.10714285714285714,2,3,-1,-1
Amsterdam,AD,1,46415865,0.0027472527472527475,2,2,-1,-1
Amsterdam,AD,1,10584629971,0.39285714285714285,1,0,-1,-1
Amsterdam,AD,1,46512176,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,46183572,0.02197802197802198,50,0,-1,-1
Amsterdam,AD,1,46183572,0.0027472527472527475,50,0,-1,-1
Amsterdam,AD,1,46183572,0.01098901098901099,50,0,-1,-1
Amsterdam,AD,1,46183572,0.09065934065934066,50,0,-1,-1
Amsterdam,AD,1,1525015190,0.0027472527472527475,0,1,-1,-1
Amsterdam,AD,1,1525015190,0.016483516483516484,0,1,-1,-1
