expH,rpe_prime,Li_div,Deng_pm,config,city,d,kappa,D
1.0000010464455966,1.0000000988686921,0.952965236096142,15.0,single,Amsterdam,46322718,2,2
1.0000010464427949,1.0000001031671562,0.9612875455943541,15.0,multi,Amsterdam,46322718,3,3
1.0,1.0,0.941558274686834,15.0,single,Amsterdam,46346468,2,2
1.0,1.0,0.9681180594988034,15.0,multi,Amsterdam,46346468,3,3
1.0,1.0,0.9807672132529559,15.0,single,Amsterdam,7042586056,2,2
1.0,1.0,0.9821427611280907,15.0,multi,Amsterdam,7042586056,3,3
1.0,1.0,0.9591762967514741,15.0,single,Amsterdam,2296170442,1,1
1.0,1.0,0.9846600183351618,15.0,multi,Amsterdam,2296170442,5,5
1.0040088759643702,1.0008050867695342,0.9355524773358882,15.0,single,Amsterdam,1891957960,1,1
1.002977913621178,1.0006567228485734,0.9633373165914343,15.0,multi,Amsterdam,1891957960,2,2
1.0,1.0,0.9593839847544409,15.0,single,Amsterdam,4625767495,3,3
2.0,1.0,0.960575137533944,15.0,multi,Amsterdam,4625767495,4,4
1.0143739176415665,1.0035794746948337,0.9377599094307054,15.0,single,Amsterdam,3306416557,1,1
1.0019216475401862,1.0002690660261502,0.9744486737672658,15.0,multi,Amsterdam,3306416557,4,4
1.0,1.0,0.9636575411899743,15.0,single,Amsterdam,46472779,2,2
1.0,1.0,0.96909038041519,15.0,multi,Amsterdam,46472779,4,4
1.0,1.0,0.966120859666053,15.0,single,Amsterdam,7926245407,2,2
