expH,rpe_prime,Li_div,Deng_pm,city,d,kappa
1.000000000000138,1.0000000000000098,0.9708986050887132,15.0,Amsterdam,46410375,2
1.0000867169763632,1.0000123360180164,0.9429774787614511,15.0,Amsterdam,11431874081,1
1.0,1.0,0.9546288028655024,15.0,Amsterdam,46473657,1
1.0,1.0,0.9545007052856592,15.0,Amsterdam,3037038658,1
2.1584526917650844,1.499440420420659,0.9521005502341864,15.0,Amsterdam,8307365174,1
1.0,1.0,0.9329732435772994,15.0,Amsterdam,46514542,2
1.0000000004759697,1.0000000000357,0.9438139126875912,15.0,Amsterdam,922662498,1
1.0000000000875346,1.0000000000060314,0.934011994072976,15.0,Amsterdam,10585373288,1
1.0,1.0,0.9073796736049473,15.0,Amsterdam,46249143,1
1.0000000018327309,1.0000000001378244,0.9446685681933243,15.0,Amsterdam,46268854,2
1.0000000000083085,1.0000000000004368,0.9171653895955582,15.0,Amsterdam,46289604,1
1.000000000044407,1.0000000000029008,0.9403290976583989,15.0,Amsterdam,46310386,2
1.000034488114525,1.0000033934262855,0.9424246563807418,15.0,Amsterdam,2772719489,1
1.0000000000004134,1.0000000000000213,0.9594382733665195,15.0,Amsterdam,46371106,1
1.0,1.0,0.9817150815362276,15.0,Amsterdam,3300515578,2
1.0,1.0,0.9304397011607399,15.0,Amsterdam,46411017,1
1.0,1.0,0.9769830104098407,15.0,Amsterdam,46435511,2
1.0,1.0,0.9684501741255245,15.0,Amsterdam,1615543977,2
1.0,1.0,0.9659183318417105,15.0,Amsterdam,46468706,3
1.0000000016208899,1.0000000001289773,0.9631981652640444,15.0,Amsterdam,1718573622,2
1.0,1.0,0.9267424694500892,15.0,Amsterdam,8439295219,1
1.0749104136034004,1.0266514964864653,0.970190090895158,15.0,Amsterdam,46514806,2
1.0000671143528133,1.0000091763601577,0.9700271323598942,15.0,Amsterdam,46173879,2
1.0000671143527857,1.0000093293009185,0.9718651982109359,15.0,Amsterdam,46188193,2
1.0000000004759697,1.0000000000363494,0.9528327655961986,15.0,Amsterdam,46209547,1
1.0000000000875346,1.0000000000063727,0.9609155234165925,15.0,Amsterdam,46226051,2
1.0,1.0,0.9382011960806608,15.0,Amsterdam,46249918,1
1.000000000005411,1.0000000000002687,0.9682181618502631,15.0,Amsterdam,280989731,2
2.0,1.0,0.9179348372708338,15.0,Amsterdam,46288279,1
5.000000000000001,0.9999999999999996,0.8691428683734634,15.0,Amsterdam,46309533,3
1.0000417896850824,1.0000060980851007,0.9538723768900363,15.0,Amsterdam,46330371,2
1.000025177979306,1.0000030044915311,0.9597126537101686,15.0,Amsterdam,46348429,3
1.0000000024725242,1.0000000001962654,0.974403879379464,15.0,Amsterdam,46369747,2
1.0,1.0,0.9471979314193493,15.0,Amsterdam,46389668,1
1.0000000000720735,1.0000000000049247,0.9443719452032532,15.0,Amsterdam,940042043,1
1.0,1.0,0.9742026931260652,15.0,Amsterdam,46429656,2
1.0000000000000029,1.0,0.9683739119439805,15.0,Amsterdam,1284046432,2
1.0000000000742193,1.000000000004974,0.9411808851674525,15.0,Amsterdam,7886095726,1
1.000000000004719,1.0000000000003144,0.9540369062914826,15.0,Amsterdam,7997216056,1
1.0000000000000002,1.0,0.9781601897095733,15.0,Amsterdam,46187415,3
1.0000026459115368,1.0000003122491756,0.9615231958896521,15.0,Amsterdam,46232048,2
1.0,1.0,0.9017570754005636,15.0,Amsterdam,6239303038,1
1.0000000000143865,1.0000000000007994,0.9859243841138303,15.0,Amsterdam,46269468,3
1.0,1.0,0.9622599920285164,15.0,Amsterdam,46289304,1
1.6283794464474042,1.4206374520423515,0.9369835490121758,15.0,Amsterdam,46308006,1
1.0,1.0,0.9156864821074633,15.0,Amsterdam,46328500,1
1.0000000000000357,1.0000000000000027,0.9824330849558535,15.0,Amsterdam,2311089467,3
1.0,1.0,0.9679816476234592,15.0,Amsterdam,46365716,2
1.0000000000000115,1.0000000000000009,0.9833029990033807,15.0,Amsterdam,1624052875,4
1.0000000406030467,1.0000000037208225,0.9824397550502438,15.0,Amsterdam,46410072,3
1.0,1.0,0.9633075980596847,15.0,Amsterdam,5911917067,1
1.0001001167556816,1.000012544610098,0.9247310943992213,15.0,Amsterdam,46450028,2
1.0,1.0,0.9401185250030332,15.0,Amsterdam,7944358639,1
1.0,1.0,0.9616690533497675,15.0,Amsterdam,46173882,1
1.0,1.0,0.9664770099712926,15.0,Amsterdam,46187268,1
1.0000000000525933,1.0000000000037566,0.9712955508054234,15.0,Amsterdam,46203773,2
1.0,1.0,0.9483593304778909,15.0,Amsterdam,7093136772,1
1.0,1.0,0.9537531051551807,15.0,Amsterdam,3898433611,1
1.0001474926324325,1.0000239146166559,0.9697808598924537,15.0,Amsterdam,46270689,3
1.0000177471271368,1.0000020806866061,0.9766268625722717,15.0,Amsterdam,46287877,3
1.000096769415328,1.000012378241129,0.9817900102456254,15.0,Amsterdam,46307544,4
1.0000010464455966,1.0000000988686921,0.952965236096142,15.0,Amsterdam,46322718,2
