city,d,kappa,L1,h1,Bstar2,Bstar3,colocated,reachable
Amsterdam,46520014,2,303.7545616801498,-1,445.9507483611444,inf,False,True
Amsterdam,46548464,2,383.10061049438707,-1,525.2967971753818,inf,False,True
Amsterdam,748723148,3,141.76564704399175,-1,202.9437267211994,277.7974114282578,False,True
Amsterdam,46292054,3,137.4495045684057,-1,155.81376834948725,174.84558647660012,False,True
Amsterdam,46310733,4,200.71599787331715,-1,210.2794982587831,228.45240959756427,False,True
Amsterdam,9476330484,4,200.16396533585475,-1,222.66680810010863,227.64377214834605,False,True
Amsterdam,2821156677,2,289.62897292909486,-1,339.89383080376683,inf,False,True
Amsterdam,46415227,4,297.7080043869913,-1,343.3140179064226,348.9829763706635,False,True
Amsterdam,10128214173,1,200.53566140172973,-1,inf,inf,False,True
Amsterdam,7887074221,1,298.4390974242737,-1,inf,inf,False,True
Amsterdam,46233564,2,151.58620283823208,-1,228.43765280597745,inf,False,True
Amsterdam,46273301,4,60.0853694679784,-1,198.4036153060066,275.9187563827888,False,True
Amsterdam,4742151382,3,148.63871723731236,-1,185.88173224600476,275.2062465063933,False,True
Amsterdam,46332375,3,186.73173904529875,-1,197.65270103221633,329.49936634846983,False,True
Amsterdam,4799100471,2,266.323999028108,-1,341.1041297941387,inf,False,True
Amsterdam,7476552784,6,236.84413470479512,-1,281.4310316577228,296.21249822635644,False,True
Amsterdam,46433459,3,269.338669731959,-1,299.0953571508951,407.1164989651591,False,True
Amsterdam,6459278056,3,169.9606545289792,-1,312.1568412099738,326.1582803881418,False,True
Amsterdam,420241704,2,82.62224507117794,-1,330.678330003346,inf,False,True
Amsterdam,5274990069,50,0.0,-1,,,True,True
Amsterdam,1596178397,1,56.436611466050884,-1,inf,inf,False,True
Amsterdam,46311892,4,96.43923934466748,-1,135.20001966665512,286.86618026498684,False,True
Amsterdam,46331939,3,130.7093112808795,-1,242.50514246379407,270.475116656757,False,True
Amsterdam,2012191835,3,163.68606943476897,-1,253.12870121278198,262.4934691653283,False,True
Amsterdam,46366150,2,246.18185004531202,-1,252.58654293204506,inf,False,True
Amsterdam,1587421936,2,185.98690152274716,-1,256.0014347471229,inf,False,True
Amsterdam,46434295,3,231.76144413941554,-1,278.5962043337983,310.348938268669,False,True
Amsterdam,46471597,2,171.565821464548,-1,311.70563164700275,inf,False,True
Amsterdam,46489067,1,165.89539245727795,-1,inf,inf,False,True
Amsterdam,8116544761,2,244.91610554469412,-1,483.77337081474286,inf,False,True
Amsterdam,1575311685,2,55.81756042408291,-1,105.66885549018103,inf,False,True
Amsterdam,4053664514,3,47.85296846451552,-1,97.39762245902776,101.16190283682695,False,True
Amsterdam,46311221,4,99.28466845402961,-1,120.3609627518445,125.42431119961452,False,True
Amsterdam,330033173,2,171.9005288822345,-1,220.6675265765511,inf,False,True
Amsterdam,2012191567,4,210.78663704442855,-1,212.41572978386154,265.2864227696718,False,True
Amsterdam,46366674,3,193.64876309243135,-1,231.3526684523407,302.56482647193315,False,True
Amsterdam,8340035244,1,137.72566668826076,-1,inf,inf,False,True
Amsterdam,46410025,5,214.2271085800479,-1,253.03994897565383,300.5779446040401,False,True
Amsterdam,46432455,3,222.02730296958924,-1,236.63401748244735,308.9176923740305,False,True
Amsterdam,6459263732,4,139.34195646356108,-1,216.92287318464113,297.37494031650675,False,True
Amsterdam,2028093778,3,107.67948050095241,-1,247.81929068340722,309.6272773622573,False,True
Amsterdam,1032858490,2,59.62488904568235,-1,270.76942730883155,inf,False,True
Amsterdam,8177207459,3,85.65999345553494,-1,296.8045317186842,329.01352680888357,False,True
Amsterdam,8163946870,1,71.742445442797,-1,inf,inf,False,True
Amsterdam,10693951339,1,122.6548870713292,-1,inf,inf,False,True
Amsterdam,303203391,2,95.43824604794258,-1,255.9735772068429,inf,False,True
Amsterdam,46291715,3,11.74045069468682,-1,113.03382771371456,126.75705681082486,False,True
Amsterdam,46314364,4,84.71551846561867,-1,118.55573744318632,186.73864036973475,False,True
Amsterdam,46329410,3,133.98441251632235,-1,184.58271451149523,198.72119482207466,False,True
Amsterdam,46348398,2,152.7503195648986,-1,197.20971897407094,inf,False,True
Amsterdam,46367399,5,67.50063631230672,-1,143.66002585017557,238.84164168604454,False,True
Amsterdam,46390320,4,96.25000534249446,-1,126.95732460033106,229.87651281844222,False,True
Amsterdam,46410375,2,165.4187161863637,-1,192.72622242120605,inf,False,True
Amsterdam,11431874081,1,211.74881406488964,-1,inf,inf,False,True
